epoch,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc
1,340466776136218116096.0000,0.3012,287979510531983310848.0000,0.2964,209108679226020036608.0000,0.3029
2,340466773486834876416.0000,0.3012,287979510531983310848.0000,0.2964,209108679226020036608.0000,0.3029
3,340466776989439098880.0000,0.3012,287979510531983310848.0000,0.2964,209108679226020036608.0000,0.3029
4,340466774162374852608.0000,0.3012,287979510531983310848.0000,0.2964,209108679226020036608.0000,0.3029
5,340466775209109880832.0000,0.3012,287979510531983310848.0000,0.2964,209108679226020036608.0000,0.3029
6,340466773923121070080.0000,0.3012,287979510531983310848.0000,0.2964,209108679226020036608.0000,0.3029
7,340466773198323056640.0000,0.3012,287979510531983310848.0000,0.2964,209108679226020036608.0000,0.3029
8,340466776296306966528.0000,0.3012,287979510531983310848.0000,0.2964,209108679226020036608.0000,0.3029
9,340466773916084207616.0000,0.3012,287979510531983310848.0000,0.2964,209108679226020036608.0000,0.3029
10,340466774943467896832.0000,0.3012,287979510531983310848.0000,0.2964,209108679226020036608.0000,0.3029
11,340466775714005647360.0000,0.3012,287979510531983310848.0000,0.2964,209108679226020036608.0000,0.3029
12,340466775427253010432.0000,0.3012,287979510531983310848.0000,0.2964,209108679226020036608.0000,0.3029
13,340466777714237177856.0000,0.3012,287979510531983310848.0000,0.2964,209108679226020036608.0000,0.3029
14,340466773747199246336.0000,0.3012,287979510531983310848.0000,0.2964,209108679226020036608.0000,0.3029
15,340466774477274939392.0000,0.3012,287979510531983310848.0000,0.2964,209108679226020036608.0000,0.3029
16,340466778396814016512.0000,0.3012,287979510531983310848.0000,0.2964,209108679226020036608.0000,0.3029
17,340466773741921566720.0000,0.3012,287979510531983310848.0000,0.2964,209108679226020036608.0000,0.3029
18,340466773558962814976.0000,0.3012,287979510531983310848.0000,0.2964,209108679226020036608.0000,0.3029
19,340466777811873824768.0000,0.3012,287979510531983310848.0000,0.2964,209108679226020036608.0000,0.3029
20,340466775077168480256.0000,0.3012,287979510531983310848.0000,0.2964,209108679226020036608.0000,0.3029
21,340466773157860999168.0000,0.3012,287979510531983310848.0000,0.2964,209108679226020036608.0000,0.3029
22,340466773889695940608.0000,0.3012,287979510531983310848.0000,0.2964,209108679226020036608.0000,0.3029
23,340466775877612994560.0000,0.3012,287979510531983310848.0000,0.2964,209108679226020036608.0000,0.3029
24,340466777438919458816.0000,0.3012,287979510531983310848.0000,0.2964,209108679226020036608.0000,0.3029
25,340466776539079180288.0000,0.3012,287979510531983310848.0000,0.2964,209108679226020036608.0000,0.3029
26,340466778423202283520.0000,0.3012,287979510531983310848.0000,0.2964,209108679226020036608.0000,0.3029
27,340466775107075244032.0000,0.3012,287979510531983310848.0000,0.2964,209108679226020036608.0000,0.3029
