epoch,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc
1,0.8518,0.5206,0.8619,0.5170,0.8518,0.5259
2,0.8389,0.5233,0.8461,0.5144,0.8336,0.5235
3,0.8247,0.5345,0.8306,0.5280,0.8211,0.5321
4,0.8492,0.5230,0.8547,0.5249,0.8467,0.5324
5,0.8286,0.5300,0.8385,0.5218,0.8302,0.5271
6,0.8210,0.5309,0.8251,0.5317,0.8193,0.5375
7,0.8277,0.5303,0.8418,0.5293,0.8315,0.5348
8,0.8135,0.5327,0.8222,0.5384,0.8151,0.5355
9,0.8119,0.5323,0.8173,0.5323,0.8145,0.5335
10,0.8137,0.5360,0.8242,0.5364,0.8184,0.5324
11,0.8167,0.5326,0.8288,0.5338,0.8232,0.5259
12,0.8182,0.5329,0.8281,0.5246,0.8210,0.5256
13,0.8130,0.5380,0.8202,0.5354,0.8110,0.5335
14,0.8056,0.5423,0.8159,0.5291,0.8093,0.5374
15,0.8216,0.5290,0.8341,0.5239,0.8300,0.5330
16,0.8044,0.5424,0.8197,0.5297,0.8105,0.5296
17,0.8013,0.5456,0.8162,0.5296,0.8071,0.5330
18,0.8066,0.5443,0.8232,0.5303,0.8195,0.5331
19,0.8100,0.5381,0.8252,0.5312,0.8190,0.5345
20,0.7967,0.5449,0.8110,0.5358,0.8088,0.5294
21,0.8010,0.5489,0.8170,0.5341,0.8088,0.5248
22,0.8174,0.5441,0.8453,0.5307,0.8325,0.5293
23,0.8009,0.5413,0.8322,0.5320,0.8196,0.5337
24,0.8107,0.5428,0.8262,0.5314,0.8158,0.5270
25,0.7982,0.5495,0.8187,0.5335,0.8099,0.5364
26,0.8049,0.5433,0.8239,0.5307,0.8143,0.5404
27,0.7958,0.5492,0.8242,0.5329,0.8167,0.5296
28,0.7950,0.5457,0.8242,0.5303,0.8190,0.5349
29,0.7963,0.5531,0.8280,0.5332,0.8203,0.5326
30,0.7876,0.5583,0.8203,0.5350,0.8141,0.5355
31,0.7931,0.5508,0.8378,0.5252,0.8232,0.5342
32,0.7909,0.5580,0.8224,0.5284,0.8118,0.5309
33,0.7947,0.5487,0.8336,0.5296,0.8200,0.5349
34,0.7868,0.5528,0.8276,0.5272,0.8239,0.5269
35,0.7881,0.5590,0.8398,0.5305,0.8273,0.5300
36,0.7857,0.5597,0.8333,0.5284,0.8293,0.5386
37,0.7885,0.5548,0.8357,0.5273,0.8228,0.5310
38,0.7845,0.5583,0.8450,0.5287,0.8353,0.5270
